X,Y,mag,alti
546404.438756447,-1768082.79591434,-227.249221801758,2637.55444335938
546904.438756447,-1768082.79591434,-295.341186523438,2590.75024414063
547404.438756447,-1768082.79591434,-303.475250244141,2547.71704101563
550904.438756447,-1768082.79591434,-169.515151977539,2286.85522460938
551404.438756447,-1768082.79591434,-155.297149658203,2269.34008789063
551904.438756447,-1768082.79591434,-149.252944946289,2232.67895507813
555904.438756447,-1768082.79591434,-128.459548950195,2124.05810546875
556404.438756447,-1768082.79591434,-129.965179443359,2138.36865234375
556904.438756447,-1768082.79591434,-134.363372802734,2131.82446289063
560904.438756447,-1768082.79591434,-202.565795898438,2264.34423828125
561404.438756447,-1768082.79591434,-185.868881225586,2310.77807617188
561904.438756447,-1768082.79591434,-152.218231201172,2349.22412109375
564904.438756447,-1768082.79591434,14.4458093643188,2464.0185546875
565404.438756447,-1768082.79591434,-111.512336730957,2469.64233398438
565904.438756447,-1768082.79591434,-100.296897888184,2472.28857421875
516404.438756447,-1767582.79591434,-140.962951660156,2183.109375
516904.438756447,-1767582.79591434,-141.00895690918,2185.69482421875
517404.438756447,-1767582.79591434,-135.550888061523,2189.4140625
520904.438756447,-1767582.79591434,-101.125061035156,2242.90698242188
521404.438756447,-1767582.79591434,-100.299407958984,2257.79248046875
521904.438756447,-1767582.79591434,-97.9590225219727,2268.39501953125
525404.438756447,-1767582.79591434,-95.4713134765625,2439.85913085938
525904.438756447,-1767582.79591434,-132.466369628906,2442.32397460938
526404.438756447,-1767582.79591434,-117.475860595703,2404.98803710938
526904.438756447,-1767582.79591434,-138.604125976563,2461.7421875
527404.438756447,-1767582.79591434,-122.055908203125,2479.2626953125
527904.438756447,-1767582.79591434,-95.0548858642578,2487.43603515625
528404.438756447,-1767582.79591434,-32.3257751464844,2488.25024414063
528904.438756447,-1767582.79591434,17.6312923431396,2488.34033203125
529404.438756447,-1767582.79591434,35.0631065368652,2492.90087890625
529904.438756447,-1767582.79591434,37.9254722595215,2494.82275390625
530404.438756447,-1767582.79591434,150.253601074219,2477.88940429688
530904.438756447,-1767582.79591434,-88.4712142944336,2442.63012695313
531404.438756447,-1767582.79591434,-190.278289794922,2500.23486328125
531904.438756447,-1767582.79591434,-247.69694519043,2380.23266601563
532404.438756447,-1767582.79591434,-273.347564697266,2371.69287109375
532904.438756447,-1767582.79591434,-281.750946044922,2363.19116210938
533404.438756447,-1767582.79591434,-272.733123779297,2364.2333984375
533904.438756447,-1767582.79591434,-280.683563232422,2376.2861328125
534404.438756447,-1767582.79591434,-299.958160400391,2402.97314453125
534904.438756447,-1767582.79591434,-306.132781982422,2464.5751953125
535404.438756447,-1767582.79591434,-306.987030029297,2514.26513671875
535904.438756447,-1767582.79591434,-305.965057373047,2582.75024414063
536404.438756447,-1767582.79591434,-307.521636962891,2689.3466796875
536904.438756447,-1767582.79591434,-324.881408691406,2668.68212890625
537404.438756447,-1767582.79591434,-357.209136962891,2667.04833984375
537904.438756447,-1767582.79591434,-407.432495117188,2686.53564453125
538404.438756447,-1767582.79591434,-458.134124755859,2711.93115234375
538904.438756447,-1767582.79591434,-451.689514160156,2748.6669921875
539404.438756447,-1767582.79591434,-295.396087646484,2792.69677734375
539904.438756447,-1767582.79591434,60.2944946289063,2838.13305664063
540404.438756447,-1767582.79591434,430.466369628906,2881.52709960938
540904.438756447,-1767582.79591434,611.570190429688,2911.56689453125
541404.438756447,-1767582.79591434,726.298767089844,2921.79174804688
541904.438756447,-1767582.79591434,716.759033203125,2958.46240234375
542404.438756447,-1767582.79591434,723.587158203125,2969.998046875
542904.438756447,-1767582.79591434,794.059204101563,2964.47534179688
543404.438756447,-1767582.79591434,883.484741210938,2950.88110351563
543904.438756447,-1767582.79591434,916.370178222656,2927.51953125
544404.438756447,-1767582.79591434,637.865661621094,2894.58618164063
544904.438756447,-1767582.79591434,187.212738037109,2858.26538085938
545404.438756447,-1767582.79591434,-49.7817840576172,2818.2470703125
545904.438756447,-1767582.79591434,-176.147537231445,2757.25634765625
546404.438756447,-1767582.79591434,-253.225479125977,2654.58374023438
546904.438756447,-1767582.79591434,-288.662261962891,2634.97534179688
547404.438756447,-1767582.79591434,-287.955718994141,2626.36376953125
547904.438756447,-1767582.79591434,-271.744110107422,2592.41430664063
548404.438756447,-1767582.79591434,-251.054336547852,2538.31762695313
548904.438756447,-1767582.79591434,-230.170028686523,2478.05297851563
549404.438756447,-1767582.79591434,-210.407135009766,2427.28125
549904.438756447,-1767582.79591434,-192.63623046875,2388.994140625
550404.438756447,-1767582.79591434,-176.735168457031,2360.25634765625
550904.438756447,-1767582.79591434,-162.803985595703,2326.53955078125
551404.438756447,-1767582.79591434,-151.804748535156,2273.09716796875
551904.438756447,-1767582.79591434,-145.326217651367,2252.70703125
552404.438756447,-1767582.79591434,-141.153442382813,2217.69946289063
555904.438756447,-1767582.79591434,-126.83570098877,2131.169921875
556404.438756447,-1767582.79591434,-127.989448547363,2151.21752929688
556904.438756447,-1767582.79591434,-131.882537841797,2136.14233398438
560904.438756447,-1767582.79591434,-211.92301940918,2254.12768554688
561404.438756447,-1767582.79591434,-197.75537109375,2304.05737304688
561904.438756447,-1767582.79591434,-136.475967407227,2339.50146484375
564904.438756447,-1767582.79591434,110.544891357422,2452.47973632813
565404.438756447,-1767582.79591434,-114.040634155273,2472.68041992188
565904.438756447,-1767582.79591434,-95.4469757080078,2446.42724609375
515904.438756447,-1767082.79591434,-138.786834716797,2166.34790039063
516404.438756447,-1767082.79591434,-139.493927001953,2177.11254882813
516904.438756447,-1767082.79591434,-141.731307983398,2181.60668945313
517404.438756447,-1767082.79591434,-137.408004760742,2185.56689453125
520904.438756447,-1767082.79591434,-98.3242568969727,2231.83471679688
521404.438756447,-1767082.79591434,-95.2701568603516,2237.70556640625
521904.438756447,-1767082.79591434,-91.3055267333984,2259.35327148438
525404.438756447,-1767082.79591434,-28.0740699768066,2488.31567382813
525904.438756447,-1767082.79591434,-56.1070518493652,2464.48193359375
526404.438756447,-1767082.79591434,-96.8362579345703,2402.0869140625
526904.438756447,-1767082.79591434,-150.181518554688,2422.10864257813
527404.438756447,-1767082.79591434,-164.60774230957,2428.0146484375
527904.438756447,-1767082.79591434,-153.690414428711,2446.1533203125
528404.438756447,-1767082.79591434,-87.1184158325195,2479.04248046875
528904.438756447,-1767082.79591434,1.8317164182663,2518.23876953125
529404.438756447,-1767082.79591434,105.982177734375,2548.15478515625
529904.438756447,-1767082.79591434,168.714859008789,2569.88403320313
530404.438756447,-1767082.79591434,246.84423828125,2575.3408203125
530904.438756447,-1767082.79591434,-12.4669914245605,2575.509765625
531404.438756447,-1767082.79591434,-163.629409790039,2637.35400390625
531904.438756447,-1767082.79591434,-228.446319580078,2580.05834960938
532404.438756447,-1767082.79591434,-255.646301269531,2577.8876953125
532904.438756447,-1767082.79591434,-250.74040222168,2589.18139648438
533404.438756447,-1767082.79591434,-222.595947265625,2605.09008789063
533904.438756447,-1767082.79591434,-225.683319091797,2618.94677734375
534404.438756447,-1767082.79591434,-270.581787109375,2601.95825195313
534904.438756447,-1767082.79591434,-298.961669921875,2603.86572265625
535404.438756447,-1767082.79591434,-312.211944580078,2590.55786132813
535904.438756447,-1767082.79591434,-317.6865234375,2585.23486328125
536404.438756447,-1767082.79591434,-317.865905761719,2657.095703125
536904.438756447,-1767082.79591434,-336.363342285156,2664.32836914063
537404.438756447,-1767082.79591434,-363.790740966797,2707.2177734375
537904.438756447,-1767082.79591434,-408.046356201172,2752.61499023438
538404.438756447,-1767082.79591434,-464.742004394531,2779.39013671875
538904.438756447,-1767082.79591434,-493.978332519531,2814.40893554688
539404.438756447,-1767082.79591434,-377.986328125,2853.24389648438
539904.438756447,-1767082.79591434,55.6740493774414,2890.58056640625
540404.438756447,-1767082.79591434,540.018005371094,2931.68920898438
540904.438756447,-1767082.79591434,649.397888183594,2963.80029296875
541404.438756447,-1767082.79591434,720.041320800781,2962.80859375
541904.438756447,-1767082.79591434,710.424865722656,2997.4541015625
542404.438756447,-1767082.79591434,713.615173339844,2990.681640625
542904.438756447,-1767082.79591434,811.540649414063,2973.05932617188
543404.438756447,-1767082.79591434,932.717712402344,2957.10205078125
543904.438756447,-1767082.79591434,1079.75964355469,2935.94946289063
544404.438756447,-1767082.79591434,743.851623535156,2908.3515625
544904.438756447,-1767082.79591434,75.1904144287109,2879.39721679688
545404.438756447,-1767082.79591434,-132.306701660156,2846.70947265625
545904.438756447,-1767082.79591434,-218.236434936523,2805.5068359375
546404.438756447,-1767082.79591434,-267.080291748047,2702.859375
546904.438756447,-1767082.79591434,-279.767639160156,2729.74096679688
547404.438756447,-1767082.79591434,-269.355285644531,2703.40209960938
547904.438756447,-1767082.79591434,-251.835083007813,2661.7275390625
548404.438756447,-1767082.79591434,-232.436676025391,2602.76879882813
548904.438756447,-1767082.79591434,-213.727920532227,2537.07763671875
549404.438756447,-1767082.79591434,-196.285247802734,2485.8447265625
549904.438756447,-1767082.79591434,-181.618896484375,2440.32885742188
550404.438756447,-1767082.79591434,-169.039077758789,2397.78881835938
550904.438756447,-1767082.79591434,-158.226150512695,2353.31225585938
551404.438756447,-1767082.79591434,-149.507354736328,2303.76831054688
551904.438756447,-1767082.79591434,-143.127151489258,2280.78466796875
552404.438756447,-1767082.79591434,-138.436706542969,2244.18310546875
552904.438756447,-1767082.79591434,-134.848495483398,2213.00903320313
553404.438756447,-1767082.79591434,-131.923568725586,2177.96948242188
553904.438756447,-1767082.79591434,-129.483428955078,2147.43041992188
554404.438756447,-1767082.79591434,-127.59058380127,2128.52612304688
554904.438756447,-1767082.79591434,-126.157669067383,2121.91796875
555404.438756447,-1767082.79591434,-125.348114013672,2125.576171875
555904.438756447,-1767082.79591434,-125.370613098145,2137.58569335938
556404.438756447,-1767082.79591434,-126.481590270996,2155.89404296875
556904.438756447,-1767082.79591434,-129.196624755859,2140.365234375
557404.438756447,-1767082.79591434,-133.905395507813,2128.63500976563
557904.438756447,-1767082.79591434,-140.74739074707,2128.71948242188
558404.438756447,-1767082.79591434,-150.127334594727,2137.39697265625
558904.438756447,-1767082.79591434,-162.762680053711,2149.52221679688
559404.438756447,-1767082.79591434,-178.131317138672,2165.32641601563
559904.438756447,-1767082.79591434,-193.837707519531,2185.07763671875
560404.438756447,-1767082.79591434,-207.167129516602,2211.37231445313
560904.438756447,-1767082.79591434,-215.306182861328,2250.02734375
561404.438756447,-1767082.79591434,-203.817932128906,2296.94091796875
561904.438756447,-1767082.79591434,-133.428680419922,2334.21337890625
562404.438756447,-1767082.79591434,96.0395431518555,2366.23876953125
562904.438756447,-1767082.79591434,542.262573242188,2390.11083984375
563404.438756447,-1767082.79591434,705.327392578125,2399.08666992188
563904.438756447,-1767082.79591434,682.56689453125,2403.42529296875
564404.438756447,-1767082.79591434,589.293273925781,2410.94409179688
564904.438756447,-1767082.79591434,288.689636230469,2431.91333007813
565404.438756447,-1767082.79591434,-41.6954460144043,2466.93872070313
565904.438756447,-1767082.79591434,-6.21216297149658,2407.84790039063
566404.438756447,-1767082.79591434,71.0517807006836,2377.662109375
566904.438756447,-1767082.79591434,85.5182723999023,2378.06958007813
567404.438756447,-1767082.79591434,59.2465591430664,2398.75805664063
515404.438756447,-1766582.79591434,-136.811294555664,2144.18896484375
515904.438756447,-1766582.79591434,-135.399139404297,2149.17529296875
516404.438756447,-1766582.79591434,-136.377410888672,2159.32446289063
516904.438756447,-1766582.79591434,-140.931640625,2170.11767578125
517404.438756447,-1766582.79591434,-139.125,2182.26586914063
517904.438756447,-1766582.79591434,-129.787704467773,2194.4833984375
520904.438756447,-1766582.79591434,-96.438117980957,2219.8798828125
521404.438756447,-1766582.79591434,-90.7964019775391,2198.91333007813
521904.438756447,-1766582.79591434,-85.047966003418,2248.79907226563
524904.438756447,-1766582.79591434,4.44135522842407,2506.13061523438
525404.438756447,-1766582.79591434,45.7022743225098,2562.62670898438
525904.438756447,-1766582.79591434,37.7112236022949,2580.80615234375
526404.438756447,-1766582.79591434,-43.288330078125,2497.29956054688
526904.438756447,-1766582.79591434,-57.8909454345703,2606.56591796875
527404.438756447,-1766582.79591434,-66.1544876098633,2618.81762695313
527904.438756447,-1766582.79591434,-47.7389335632324,2635.07275390625
528404.438756447,-1766582.79591434,-22.7069473266602,2652.39501953125
528904.438756447,-1766582.79591434,-1.7148118019104,2668.294921875
529404.438756447,-1766582.79591434,35.5403671264648,2679.58984375
529904.438756447,-1766582.79591434,164.363250732422,2705.3720703125
530404.438756447,-1766582.79591434,232.557037353516,2739.21215820313
530904.438756447,-1766582.79591434,29.7973442077637,2768.01708984375
531404.438756447,-1766582.79591434,-145.718612670898,2794.54125976563
531904.438756447,-1766582.79591434,-232.293609619141,2793.58227539063
532404.438756447,-1766582.79591434,-259.813781738281,2789.21704101563
532904.438756447,-1766582.79591434,-236.255737304688,2798.82690429688
533404.438756447,-1766582.79591434,-184.034362792969,2809.01733398438
533904.438756447,-1766582.79591434,-188.157897949219,2814.70483398438
534404.438756447,-1766582.79591434,-243.144088745117,2813.99487304688
534904.438756447,-1766582.79591434,-281.642150878906,2812.34594726563
535404.438756447,-1766582.79591434,-294.369171142578,2825.32080078125
535904.438756447,-1766582.79591434,-300.100036621094,2825.3291015625
536404.438756447,-1766582.79591434,-306.158813476563,2807.90161132813
536904.438756447,-1766582.79591434,-324.036346435547,2853.15185546875
537404.438756447,-1766582.79591434,-350.511108398438,2888.97680664063
537904.438756447,-1766582.79591434,-380.38037109375,2916.36669921875
538404.438756447,-1766582.79591434,-401.090728759766,2938.93627929688
538904.438756447,-1766582.79591434,-393.650848388672,2959.51171875
539404.438756447,-1766582.79591434,-291.089447021484,2978.189453125
539904.438756447,-1766582.79591434,37.5939559936523,2995.78588867188
540404.438756447,-1766582.79591434,551.444641113281,3010.26245117188
540904.438756447,-1766582.79591434,700.978393554688,3026.58544921875
541404.438756447,-1766582.79591434,692.005187988281,2994.607421875
541904.438756447,-1766582.79591434,704.256408691406,3014.8408203125
542404.438756447,-1766582.79591434,677.621520996094,2994.85009765625
542904.438756447,-1766582.79591434,777.248229980469,2972.61059570313
543404.438756447,-1766582.79591434,990.700805664063,2946.6923828125
